timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678801548133,557,Yame-/shop/vi-than-co-ai?s=2,200,OK,Thread Group-Yame 1-99,text,true,,92118,131,55,55,https://yame.vn/shop/vi-than-co-ai?s=2,459,0,0
1678801544986,3733,Yame-/shop/ao-thun-don-gian?s=2,200,OK,Thread Group-Yame 1-85,text,true,,95163,134,55,55,https://yame.vn/shop/ao-thun-don-gian?s=2,1140,0,0
1678801547885,825,Yame-/shop/quan-jogger?s=2,200,OK,Thread Group-Yame 1-40,text,true,,73466,129,55,55,https://yame.vn/shop/quan-jogger?s=2,480,0,0
1678801547637,1098,Yame-/shop/quan-jogger?s=2,200,OK,Thread Group-Yame 1-25,text,true,,73478,129,55,55,https://yame.vn/shop/quan-jogger?s=2,592,0,0
1678801547814,941,Yame-/shop/bltx?s=2,200,OK,Thread Group-Yame 1-24,text,true,,88509,122,55,55,https://yame.vn/shop/bltx?s=2,493,0,0
1678801548229,595,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-58,text,true,,90015,134,55,55,https://yame.vn/shop/ao-thun-toi-gian?s=2,445,0,0
1678801548228,602,Yame-/shop/giay-dep-sandal?s=2,200,OK,Thread Group-Yame 1-92,text,true,,87675,133,55,55,https://yame.vn/shop/giay-dep-sandal?s=2,446,0,0
1678801548228,602,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-78,text,true,,91412,125,55,55,https://yame.vn/bo-suu-tap/bbuff,452,0,0
1678801547657,1179,Yame,200,OK,Thread Group-Yame 1-94,text,true,,103215,228,54,54,https://yame.vn/home/v2022,439,0,0
1678801547657,439,Yame-0,302,Found,Thread Group-Yame 1-94,text,true,,1390,109,54,54,https://yame.vn/,439,0,0
1678801548096,740,Yame-1,200,OK,Thread Group-Yame 1-94,text,true,,101825,119,54,54,https://yame.vn/home/v2022,538,0,0
1678801548247,658,Yame-/shop/ao-khoac-hoodie?s=2,200,OK,Thread Group-Yame 1-53,text,true,,94388,133,54,54,https://yame.vn/shop/ao-khoac-hoodie?s=2,463,0,0
1678801548257,649,Yame-/shop/ao-thun-toi-gian?s=2,200,OK,Thread Group-Yame 1-61,text,true,,90021,134,54,54,https://yame.vn/shop/ao-thun-toi-gian?s=2,453,0,0
1678801545969,2950,Yame-/shop/ao-khoac-on-gian-2?s=2,200,OK,Thread Group-Yame 1-73,text,true,,94571,136,54,54,https://yame.vn/shop/ao-khoac-on-gian-2?s=2,940,0,0
1678801547261,1676,Yame-/shop/quan-short-don-gian?s=2,200,OK,Thread Group-Yame 1-51,text,true,,92212,137,54,54,https://yame.vn/shop/quan-short-don-gian?s=2,743,0,0
1678801548391,552,Yame-/shop/quan-jogger?s=2,200,OK,Thread Group-Yame 1-69,text,true,,73472,129,54,54,https://yame.vn/shop/quan-jogger?s=2,426,0,0
1678801546803,2159,Yame-/shop/vi-than-co-ai?s=2,200,OK,Thread Group-Yame 1-89,text,true,,92116,131,54,54,https://yame.vn/shop/vi-than-co-ai?s=2,887,0,0
1678801547804,1171,Yame,200,OK,Thread Group-Yame 1-66,text,true,,103310,228,54,54,https://yame.vn/home/v2022,415,0,0
1678801547804,415,Yame-0,302,Found,Thread Group-Yame 1-66,text,true,,1392,109,54,54,https://yame.vn/,415,0,0
1678801548220,755,Yame-1,200,OK,Thread Group-Yame 1-66,text,true,,101918,119,54,54,https://yame.vn/home/v2022,560,0,0
